0,34
1,14
2,13
3,19
4,17
5,8
6,19
7,35
8,20
9,17
10,16
11,13
12,10
13,15
14,16
15,22
16,17
17,9
18,11
19,18
20,13
21,18
22,15
23,12
24,22
25,17
26,14
27,10
28,11
29,27
30,11
31,28
32,17
33,19
34,21
35,12
36,15
37,16
38,12
39,8
40,17
41,22
42,21
43,7
44,15
45,9
47,9
48,11
49,12
50,20
51,10
52,11
53,17
54,15
55,7
56,8
57,12
58,10
59,14
60,12
61,13
62,23
63,13
64,11
65,12
66,12
67,12
68,19
69,15
70,12
71,15
72,9
73,12
74,14
75,8
76,8
77,12
78,11
79,12
80,14
81,11
82,7
83,9
84,8
85,7
86,7
87,10
88,13
89,10
90,12
91,9
92,10
93,16
94,13
95,12
96,11
97,8
98,9
99,18
100,8
