Peer: Server3, View: 1, Phase 19:start_phase10018
Peer: Server1, View: 1, Phase 21:start_phase10020
Peer: Server1, View: 1, Phase 22:start_phase10021
Peer: Server3, View: 1, Phase 20:start_phase10019
Peer: Server1, View: 1, Phase 23:start_phase10022
Peer: Server3, View: 1, Phase 21:start_phase10020
Peer: Server1, View: 1, Phase 24:start_phase10023
Peer: Server3, View: 1, Phase 22:start_phase10021
Peer: Server1, View: 1, Phase 25:start_phase10024
Peer: Server3, View: 1, Phase 23:start_phase10022
Peer: Server2, View: 1, Phase 11:start_phase10010
Peer: Server4, View: 1, Phase 20:start_phase10019
Peer: Server1, View: 1, Phase 26:start_phase10025
Peer: Server4, View: 1, Phase 21:start_phase10020
Peer: Server1, View: 1, Phase 27:start_phase10026
Peer: Server4, View: 1, Phase 22:start_phase10021
Peer: Server1, View: 1, Phase 28:start_phase10027
Peer: Server4, View: 1, Phase 23:start_phase10022
Peer: Server3, View: 1, Phase 24:start_phase10023
Peer: Server4, View: 1, Phase 24:start_phase10023
Peer: Server1, View: 1, Phase 29:start_phase10028
Peer: Server3, View: 1, Phase 25:start_phase10024
Peer: Server2, View: 1, Phase 12:start_phase10011
Peer: Server2, View: 1, Phase 13:start_phase10012
Peer: Server3, View: 1, Phase 26:start_phase10025
Peer: Server2, View: 1, Phase 14:start_phase10013
Peer: Server4, View: 1, Phase 25:start_phase10024
Peer: Server4, View: 1, Phase 26:start_phase10025
Peer: Server4, View: 1, Phase 27:start_phase10026
Peer: Server4, View: 1, Phase 28:start_phase10027
Peer: Server3, View: 1, Phase 27:start_phase10026
Peer: Server2, View: 1, Phase 15:start_phase10014
Peer: Server3, View: 1, Phase 28:start_phase10027
Peer: Server2, View: 1, Phase 16:start_phase10015
Peer: Server3, View: 1, Phase 29:start_phase10028
Peer: Server4, View: 1, Phase 29:start_phase10028
Peer: Server2, View: 1, Phase 17:start_phase10016
Peer: Server3, View: 1, Phase 30:start_phase10029
Peer: Server1, View: 1, Phase 30:start_phase10029
Peer: Server1, View: 1, Phase 31:start_phase10030
Peer: Server4, View: 1, Phase 30:start_phase10029
Peer: Server2, View: 1, Phase 18:start_phase10017
Peer: Server3, View: 1, Phase 31:start_phase10030
Peer: Server1, View: 1, Phase 32:start_phase10031
Peer: Server4, View: 1, Phase 31:start_phase10030
Peer: Server2, View: 1, Phase 19:start_phase10018
Peer: Server4, View: 1, Phase 32:start_phase10031
Peer: Server1, View: 1, Phase 33:start_phase10032
Peer: Server4, View: 1, Phase 33:start_phase10032
Peer: Server2, View: 1, Phase 20:start_phase10019
Peer: Server1, View: 1, Phase 34:start_phase10033
Peer: Server3, View: 1, Phase 32:start_phase10031
Peer: Server4, View: 1, Phase 34:start_phase10033
Peer: Server1, View: 1, Phase 35:start_phase10034
Peer: Server2, View: 1, Phase 21:start_phase10020
Peer: Server3, View: 1, Phase 33:start_phase10032
Peer: Server4, View: 1, Phase 35:start_phase10034
Peer: Server1, View: 1, Phase 36:start_phase10035
Peer: Server3, View: 1, Phase 34:start_phase10033
Peer: Server4, View: 1, Phase 36:start_phase10035
Peer: Server1, View: 1, Phase 37:start_phase10036
Peer: Server3, View: 1, Phase 35:start_phase10034
Peer: Server1, View: 1, Phase 38:start_phase10037
Peer: Server1, View: 1, Phase 39:start_phase10038
Peer: Server3, View: 1, Phase 36:start_phase10035
Peer: Server1, View: 1, Phase 40:start_phase10039
Peer: Server1, View: 1, Phase 41:start_phase10040
Peer: Server1, View: 1, Phase 42:start_phase10041
Peer: Server3, View: 1, Phase 37:start_phase10036
Peer: Server1, View: 1, Phase 43:start_phase10042
Peer: Server1, View: 1, Phase 44:start_phase10043
Peer: Server2, View: 1, Phase 22:start_phase10021
Peer: Server2, View: 1, Phase 23:start_phase10022
Peer: Server4, View: 1, Phase 37:start_phase10036
Peer: Server1, View: 1, Phase 45:start_phase10044
Peer: Server3, View: 1, Phase 38:start_phase10037
Peer: Server2, View: 1, Phase 24:start_phase10023
Peer: Server4, View: 1, Phase 38:start_phase10037
Peer: Server2, View: 1, Phase 25:start_phase10024
Peer: Server3, View: 1, Phase 39:start_phase10038
Peer: Server4, View: 1, Phase 39:start_phase10038
Peer: Server2, View: 1, Phase 26:start_phase10025
Peer: Server3, View: 1, Phase 40:start_phase10039
Peer: Server1, View: 1, Phase 46:start_phase10045
Peer: Server2, View: 1, Phase 27:start_phase10026
Peer: Server4, View: 1, Phase 40:start_phase10039
Peer: Server3, View: 1, Phase 41:start_phase10040
Peer: Server1, View: 1, Phase 47:start_phase10046
Peer: Server2, View: 1, Phase 28:start_phase10027
Peer: Server4, View: 1, Phase 41:start_phase10040
Peer: Server1, View: 1, Phase 48:start_phase10047
Peer: Server3, View: 1, Phase 42:start_phase10041
Peer: Server2, View: 1, Phase 29:start_phase10028
Peer: Server4, View: 1, Phase 42:start_phase10041
Peer: Server3, View: 1, Phase 43:start_phase10042
Peer: Server1, View: 1, Phase 49:start_phase10048
Peer: Server4, View: 1, Phase 43:start_phase10042
Peer: Server3, View: 1, Phase 44:start_phase10043
Peer: Server1, View: 1, Phase 50:start_phase10049
Peer: Server3, View: 1, Phase 45:start_phase10044
Peer: Server4, View: 1, Phase 44:start_phase10043
Peer: Server1, View: 1, Phase 51:start_phase10050
Peer: Server4, View: 1, Phase 45:start_phase10044
Peer: Server3, View: 1, Phase 46:start_phase10045
Peer: Server4, View: 1, Phase 46:start_phase10045
Peer: Server3, View: 1, Phase 47:start_phase10046
Peer: Server3, View: 1, Phase 48:start_phase10047
Peer: Server3, View: 1, Phase 49:start_phase10048
Peer: Server3, View: 1, Phase 50:start_phase10049
Peer: Server4, View: 1, Phase 47:start_phase10046
Peer: Server3, View: 1, Phase 51:start_phase10050
Peer: Server4, View: 1, Phase 48:start_phase10047
Peer: Server4, View: 1, Phase 49:start_phase10048
Peer: Server4, View: 1, Phase 50:start_phase10049
Peer: Server4, View: 1, Phase 51:start_phase10050
Peer: Server2, View: 1, Phase 30:start_phase10029
Peer: Server2, View: 1, Phase 31:start_phase10030
Peer: Server2, View: 1, Phase 32:start_phase10031
Peer: Server2, View: 1, Phase 33:start_phase10032
Peer: Server2, View: 1, Phase 34:start_phase10033
Peer: Server2, View: 1, Phase 35:start_phase10034
Peer: Server2, View: 1, Phase 36:start_phase10035
Peer: Server2, View: 1, Phase 37:start_phase10036
Peer: Server2, View: 1, Phase 38:start_phase10037
Peer: Server2, View: 1, Phase 39:start_phase10038
Peer: Server2, View: 1, Phase 40:start_phase10039
Peer: Server2, View: 1, Phase 41:start_phase10040
Peer: Server2, View: 1, Phase 42:start_phase10041
Peer: Server2, View: 1, Phase 43:start_phase10042
Peer: Server2, View: 1, Phase 44:start_phase10043
Peer: Server2, View: 1, Phase 45:start_phase10044
Peer: Server2, View: 1, Phase 46:start_phase10045
Peer: Server2, View: 1, Phase 47:start_phase10046
Peer: Server2, View: 1, Phase 48:start_phase10047
Peer: Server2, View: 1, Phase 49:start_phase10048
Peer: Server2, View: 1, Phase 50:start_phase10049
Peer: Server2, View: 1, Phase 51:start_phase10050
