0,799
1,980
2,2464
5,2553
6,2591
7,2693
3,3020
8,3139
9,3144
4,3203
16,3622
10,3628
11,3632
17,3724
18,3778
19,3780
20,3783
21,4012
22,4074
23,4076
24,4078
25,4085
27,4251
26,4255
28,4258
38,4327
29,4388
30,4390
31,4392
32,4400
39,4405
40,4646
41,4649
42,4651
45,4654
46,4654
47,4656
43,4659
48,4660
44,4663
49,4665
50,4719
0,826
1,1393
2,1393
3,1981
4,2116
5,2124
6,2126
7,2167
8,2174
9,2552
10,2580
11,2700
12,2820
13,2821
14,2824
16,2863
15,2942
18,3354
17,3364
19,3366
20,3369
23,3399
27,3436
26,3447
24,3449
25,3450
21,3576
22,3577
28,3583
29,3600
30,3602
31,3655
32,3656
33,3724
34,3727
35,3728
36,3729
47,3783
48,3789
49,3797
42,3803
43,3807
50,3817
0,633
1,654
2,1159
3,1205
4,1222
5,1230
6,1271
7,1277
8,1279
9,1283
10,1353
11,1370
12,1451
13,1456
14,1738
15,1741
16,1744
17,1747
18,1750
19,1753
20,1772
21,1778
22,1783
23,1788
24,1792
25,1802
26,1806
27,1812
28,1815
29,1820
30,1827
31,1832
32,1835
33,1838
34,1844
35,1847
36,1852
37,1855
38,1872
39,1877
40,1880
41,1887
42,1895
43,1900
44,1905
45,1914
46,1917
47,1932
48,1936
49,1941
50,1945
